Property,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
874Wintergreen,"2,377.01","2,035.31","2,493.61","2,951.91","2,403.21","2,861.51","3,319.81","3,653.11","4,211.41","4,769.71","3,633.01","10,026.66","3,132.72","4,058.71","3,800.70","4,326.69","5,252.68","3,809.14","6,430.13","5,661.12","8,282.11","7,457.58","5,533.57","8,298.62","1,360.80",591.79,"3,812.03","4,893.02","5,974.01","7,055.00","8,135.99","7,366.98","10,197.97","11,328.96","11,559.95","10,790.94","1,455.10"
PagodaSecurity,"17,016.85","17,017.00","17,017.13","17,017.27","11,927.39","11,927.49","11,927.59","11,927.69","12,427.79","12,427.90","12,428.00","12,428.10","20,428.21","20,428.38","20,428.54","20,428.71","20,428.88","20,429.06","20,429.22","20,429.40","20,429.57","20,429.74","20,429.91","20,431.02","10,217.49","18,219.75","18,221.84","18,224.16","18,226.41","18,228.73","18,230.98","18,233.30","18,235.63","18,237.87","18,240.20","18,242.45","28,244.94"
711Parks,"6,833.59","7,719.64","8,605.69","9,491.74","10,377.79","13,808.84","12,024.89","12,910.94","13,896.99","14,883.04","15,869.09","16,855.14","6,228.41","5,419.46","4,610.51","3,801.56","2,992.61","5,765.66","8,896.71","7,353.81","10,444.86","10,196.53","8,232.58","11,223.63","1,130.27",321.32,"3,634.97","4,616.02","3,807.07","4,850.52","6,351.57","5,542.62","7,925.57","9,216.62","10,357.67","11,738.72","2,451.61"
Midway, -   , -   , -   , -   , -   , -   , -   , -   ,"49,776.78","52,239.26","48,811.79","49,917.01","28,083.81","31,897.25","73,759.50","82,316.35","56,406.98","95,824.24","104,737.67","114,374.81","180,900.78","165,222.27","170,161.22","188,493.73","47,271.84","54,844.99","66,107.00","75,048.54","81,252.26","91,564.16","98,856.71","107,467.41","108,635.58","73,352.00","80,939.48","86,882.32","49,220.37"
1117Brewer,"3,848.85","4,817.37","5,725.89","6,634.41","7,542.93","8,451.45","8,400.97","9,309.49","10,218.01","11,226.53","10,440.05","11,448.57","3,518.62","6,322.14","6,910.66","7,919.18","7,132.70","9,936.22","8,051.74","6,553.78","11,152.30","10,874.48","10,088.00","12,896.52","1,389.36",602.88,"3,554.65","2,776.92","3,740.44","5,239.96","6,813.48","6,027.00","6,575.52","5,789.04","5,002.56","5,474.22","1,960.90"
Partnership,"546,911.76","525,190.89","180,473.68","275,053.75","216,057.94","216,061.56","216,065.11","566,911.64","98,909.61","93,911.17","89,912.70","89,914.18","175,915.69","175,918.68","170,921.32","170,924.23","167,127.03","167,129.87","19,952.05","170,838.80","169,841.69","169,844.48","169,847.36","169,937.71","545,558.58","545,252.96","536,008.28","511,809.45","507,644.23","515,998.95","511,499.15","439,188.39","438,065.20","438,429.00","447,344.75","447,716.26","587,673.79"
8604Wagon,"4,021.07","4,772.28","5,523.49","6,274.70","6,823.92","7,695.13","8,476.34","9,257.55","10,038.76","10,717.98","11,649.19","10,730.40","2,699.34","3,630.55","4,561.76","5,542.97","4,372.19","7,003.40","6,779.61","5,860.82","8,842.03","7,865.65","6,946.86","9,778.07","2,222.93","1,289.14","4,110.61","5,019.82","5,901.03","7,007.24","7,918.45","6,999.66","9,980.31","10,913.53","12,094.74","13,275.95","2,517.48"
114Sidney,"2,052.25","3,527.25","2,975.36","2,334.33","5,421.61","4,422.71","4,800.79","5,600.16","4,274.65","1,486.76","2,680.02","1,963.63","2,072.70","5,654.69","6,145.90","6,140.56","5,936.48","7,951.70","7,270.73","6,391.02","8,756.31","7,848.30","6,968.59","9,478.89","3,345.48","1,213.52","3,751.14","4,245.51","4,999.04","6,018.41","6,962.78","6,212.15","8,711.52","7,960.89","7,695.26","6,944.63","3,910.05"
2224Heatherton,"1,632.41","5,936.41","7,002.41","5,248.41","82,750.71","84,650.71","64,427.71","64,427.71","64,427.71","64,427.71","64,427.71","64,427.71","72,015.91","72,015.91","72,015.91","57,772.16","55,553.16","53,743.16","51,513.16","50,396.16","47,109.16","45,342.16","43,559.66","38,599.66","32,379.23","21,816.48","18,712.98","16,276.73","13,171.48","11,032.98","10,417.48","8,479.48","7,579.48","7,579.48","7,579.48","7,579.48","7,579.48"
4920BrianHill,"5,304.01","3,854.01","6,029.01","11,379.01","4,360.28","9,637.22","13,312.22","14,029.16","10,916.10","17,878.04","16,454.98","18,726.92","4,413.92","7,030.86","9,173.87","10,603.31","8,984.25","7,045.44","18,091.98","14,276.19","16,083.03","14,699.97","13,316.91","15,970.36","8,206.74","11,334.13","17,749.69","20,867.18","22,967.21","28,947.34","32,082.92","30,253.06","35,523.52","34,253.31","33,177.78","31,680.46","6,141.69"
Common,"5,837.83","5,348.89","8,900.84","3,564.98","8,085.56","14,013.16","5,051.96","3,104.86","7,272.63","3,158.18","8,769.42",320.13,"3,842.75",950.75,"1,195.68","-1,632.32",206.77,47.68,47.68,47.68,47.68,47.68,-119.36,"2,298.87","1,754.82","1,377.36","1,377.36",706.89,646.89,513.19,513.19,-665.85,490.39,436.93,254.28,200.99,175.4
6401Basswood,"10,773.16","7,959.41","10,149.12","8,085.93","5,791.83","7,149.04","6,984.99","6,382.68","6,247.08","1,545.77","6,124.18","9,044.60",103.05,"6,749.95","12,605.63","20,186.77","21,965.23","15,042.60","21,457.81","19,984.75","24,896.04","23,259.72","26,365.85","26,416.14","4,497.01","8,540.16","7,092.33","11,992.58","14,987.75","21,975.08","25,202.79","21,387.01","27,213.20","30,827.46","33,574.32","39,749.24","3,380.77"
4909Jamesway,920.32,"5,520.34","8,998.27","12,343.20","14,110.73","17,925.55","27,364.25","26,221.16","27,805.41","29,195.64","32,732.39","37,943.25","4,731.27","13,570.36","15,546.75","13,465.50","13,752.10","14,735.49","28,089.76","27,705.62","31,039.35","30,592.20","31,334.19","37,221.43","4,416.97","5,321.93","6,892.90","7,595.75","6,324.68","9,444.37","10,453.30","10,428.32","16,528.69","20,570.59","25,455.98","28,299.72","5,433.50"
7417Canoga,"2,219.61","1,424.08","2,240.02","3,989.13","4,334.30","6,538.68","8,273.70","10,006.78","11,817.34","13,123.14","14,641.32","15,296.94","4,274.48","7,266.14","7,133.59","6,153.84","8,165.71","3,038.60","1,773.23","6,391.23","8,664.54","11,019.92","13,594.92","12,539.29","2,797.48","1,769.53","4,181.75","1,862.54","1,748.96","6,557.88","6,557.88","5,931.42","5,931.42","5,931.42","59,127.74","59,127.74","9,127.74"
TrustChase, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,200,"2,400.00","2,400.00","2,400.00","2,400.00","2,400.00","2,400.00","2,400.00","2,400.00","1,200.00","1,200.00","1,200.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00","3,700.00"
